episode_id,predicted_task,instruction
episode1,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use arms to pick the bottle with small ridged green cap, drop it in the smooth black dustbin, repeat for the bottle with ribbed design and the hand-sized drinking bottle."
episode2,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the red soda can with green accents, drop it into the basket for carrying things, then use another arm for the basket for carrying things."
episode3,stack_blocks_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Bring red block, green block, and blue block to the middle. Stack green block onto red block and blue block onto green block."
episode4,stack_bowls_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the curved bowl light blue shade and stack them from biggest to smallest."
episode5,beat_block_hammer,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the grippy handle hammer with the left arm, strike the block."
episode6,place_burger_fries,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the smooth orange and white hamburg, the red box with golden sticks, and place them on the solid green palm-sized tray using both arms."
episode7,click_alarmclock,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Guide the right arm to press the centered button on the palm-sized alarm-clock."
episode8,press_stapler,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Firmly press the blue plastic stapler with silver metal using an arm."
episode9,open_microwave,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull and open the medium microwave with slanted sides."
episode10,place_cans_plasticbox,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the red beverage can with curved top, put it in the blue plasticbox for storing things, then handle the smooth white can with accents similarly."
episode11,handover_mic,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the rounded white tip microphone and hand it to the other side."
episode12,rotate_qrcode,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Catch the paymentsign using the right arm, pick it up, and turn it to face the QR code."
episode13,place_a2b_left,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Set the bread with warm golden color on the left side of the rounded bar of dark soap."
episode14,place_fan,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With the left arm, grab the fan with rectangular base, align it to face the robot, and put it on the Blue mat."
episode15,place_object_stand,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Set the mouse with scroll wheel in center on the black displaystand using the right arm"
episode16,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to grab the medium metal can and place in the basket with handle, lift the basket with handle with another arm."
episode17,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Carry the yellow bottle body with tapered neck first, drop it into the smooth black dustbin, repeat with the transparent bottle and the red and black beverage bottle."
episode18,blocks_ranking_rgb,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Start with red block on the left, followed by green block next to red block, and end with blue block on the far right."
episode19,place_shoe,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to lift the footwear with padded heel from the table and set it on the mat"
episode20,open_laptop,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Raise the silver laptop with foldable parts using the left arm firmly."
episode21,place_bread_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Put the smooth loaf with rounded edges into the smooth beige breadbasket using an arm."
episode22,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Open the cabinet with gray sides's drawer and transfer the bread with golden-brown crust into it."
episode23,open_microwave,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull the door to open the microwave for heating food."
episode24,place_bread_skillet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Transfer the brown bread loaf into the heavy black cooking skillet from the table"
episode25,place_mouse_pad,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the palm-fitting mouse and stick it on Gray mat."
episode26,place_bread_skillet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to grab the golden brown bread and set it in the metal skillet with comfortable grip."
episode27,place_fan,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the portable white fan and position it on the Brown mat, ensuring it faces the robot."
